Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,castor.castor_0,castor.castor_1,castor.castor_2,castor.castor_3,segway.segway_0,segway.segway_1,segway.segway_2,segway.segway_3
1669927714.1909041,68,1669927714,190462827,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.2008994,69,1669927714,200530290,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.2106497,70,1669927714,210382699,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.22061,71,1669927714,220433950,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.2312984,72,1669927714,230570554,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.2408087,73,1669927714,240455627,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.250719,74,1669927714,250404119,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.2606115,75,1669927714,260404825,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.270955,76,1669927714,270384073,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.2805684,77,1669927714,280383825,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.2905662,78,1669927714,290386199,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.3005464,79,1669927714,300378799,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.310771,80,1669927714,310554265,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.3207467,81,1669927714,320407390,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
